path,bytes,sha256,component,version,source,license,terms,modification,delivery,required_notices,status
bashi-privacy-app/models/,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,directory,n/a,n/a,n/a,THIRD_PARTY.md and licenses/README.md; pending where stated,not-a-file,A,no-license-required,已核实
bashi-privacy-app/static/,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,directory,n/a,n/a,n/a,THIRD_PARTY.md and licenses/README.md; pending where stated,not-a-file,A,no-license-required,已核实
bashi-privacy-app/app.py,8585,a0b0cf3789a4cde569173c83f6284aa923b702a4b55fd3e5bd3588f433bc2fff,bashi-code-and-docs,0.1.4,project-source-and-release,MIT; third-party portions retain their own terms,THIRD_PARTY.md and licenses/README.md; pending where stated,project-authored-or-assembled,A,retain project LICENSE; embedded manual fonts not yet inventoried,待核实
bashi-privacy-app/audio_encoding.py,1689,977a1b1e590e602ed7a98b29138106960b24bd0b54f3563987346e2c6151ea15,bashi-code-and-docs,0.1.4,project-source-and-release,MIT; third-party portions retain their own terms,THIRD_PARTY.md and licenses/README.md; pending where stated,project-authored-or-assembled,A,retain project LICENSE; embedded manual fonts not yet inventoried,待核实
bashi-privacy-app/backend_probe.py,28188,82fede3dcbde2e840aa64a08a0c6b76b782639c0da9be87a8aee45a7af23143e,bashi-code-and-docs,0.1.4,project-source-and-release,MIT; third-party portions retain their own terms,THIRD_PARTY.md and licenses/README.md; pending where stated,project-authored-or-assembled,A,retain project LICENSE; embedded manual fonts not yet inventoried,待核实
bashi-privacy-app/download_cuda_runtime.py,19418,3252cf2402f7dd2b9061deaaa3a93d22963f884accbce558aa2d30edcb731b92,bashi-code-and-docs,0.1.4,project-source-and-release,MIT; third-party portions retain their own terms,THIRD_PARTY.md and licenses/README.md; pending where stated,project-authored-or-assembled,A,retain project LICENSE; embedded manual fonts not yet inventoried,待核实
bashi-privacy-app/download_gguf_model.py,11271,080f8f355e591f671eec0148f8e0762b49fc7151d57733a832fc4e4f78245ada,bashi-code-and-docs,0.1.4,project-source-and-release,MIT; third-party portions retain their own terms,THIRD_PARTY.md and licenses/README.md; pending where stated,project-authored-or-assembled,A,retain project LICENSE; embedded manual fonts not yet inventoried,待核实
bashi-privacy-app/download_utils.py,506,35a1cede997899b7fad74d402c452d8a5e38603139897ee1ffbb20415a48c9d3,bashi-code-and-docs,0.1.4,project-source-and-release,MIT; third-party portions retain their own terms,THIRD_PARTY.md and licenses/README.md; pending where stated,project-authored-or-assembled,A,retain project LICENSE; embedded manual fonts not yet inventoried,待核实
bashi-privacy-app/LICENSE,1085,d04ef6fd8683a303c266dec9af2f859c36690bfb069252ac7da21486ab2e4de6,bashi-code-and-docs,0.1.4,project-source-and-release,MIT; third-party portions retain their own terms,THIRD_PARTY.md and licenses/README.md; pending where stated,project-authored-or-assembled,A,retain project LICENSE; embedded manual fonts not yet inventoried,待核实
bashi-privacy-app/local_tts_engine.py,258,eac47603d164c78ac389f92f13b6d5758254de3d05105390841c64a13136df67,bashi-code-and-docs,0.1.4,project-source-and-release,MIT; third-party portions retain their own terms,THIRD_PARTY.md and licenses/README.md; pending where stated,project-authored-or-assembled,A,retain project LICENSE; embedded manual fonts not yet inventoried,待核实
